# Simulated random data file for batch processing
# timestamp: 2022-05-06 14:54:56
# NJG
# ------------------------

"var_x","var_y"
0.255607293453068,0.27917173714377
0.480678847059608,0.184480482712388
0.27914400328882,0.0279283821582794
0.926668538479134,0.827930052066222
0.329319895477965,0.845611694734544
0.29458862869069,0.534181877039373
0.918116087792441,0.862002648180351
0.132637366186827,0.619367285864428
0.234482150524855,0.746073972433805
0.521354400087148,0.618917960673571
0.916144900489599,0.751154738944024
0.115836029639468,0.235413688002154
0.816549759358168,0.814917138544843
0.431117403553799,0.530286072287709
0.696140029700473,0.813780205324292
0.968609623610973,0.554094320395961
0.229112880770117,0.340718358755112
0.0638128663413227,0.0934280538931489
0.184477816568688,0.559658457757905
0.447383865248412,0.260649317177013
0.875584056600928,0.198462687199935
0.917839325033128,0.452047344297171
0.28657552995719,0.672598422272131
0.334707705769688,0.514307739911601
0.930742667987943,0.768586072139442
0.147097799926996,0.306468886556104
0.0608290927484632,0.302963538328186
0.619285808177665,0.353638643864542
0.247590828919783,0.786557988962159
0.0399602553807199,0.264189206529409
0.376597442431375,0.142647379077971
NA,0.951984571758658
0.266357108252123,0.288400110555813
0.225381120573729,0.642471013590693
0.251098588807508,0.982377344509587
0.112080949358642,0.232017383910716
0.805293179117143,0.293078110553324
0.95999978389591,0.277048910502344
0.529345971299335,0.142882097046822
0.736397462664172,0.14508639764972
NA,0.48446442023851
0.822578275110573,0.788954236544669
0.40924259647727,0.538114419905469
0.602107129525393,0.869653770234436
0.690205855062231,0.453159812837839
NA,NA
0.911851641023532,0.581323583144695
0.617079775314778,0.975808778079227
0.127878275467083,0.859830588568002
0.328969744965434,0.964288665447384
0.736207142239437,0.199405203107744
0.362588106188923,0.3344301127363
0.0547720319591463,0.283017571317032
0.1987108446192,0.634670273866504
0.00471114297397435,0.898235812084749
0.72073261719197,0.540685623185709
0.489816463319585,0.569328224519268
0.256757339229807,0.0104912808164954
0.134552870411426,0.961697467369959
0.798536716960371,0.0585353279020637
0.191342918435112,0.760920023312792
0.250935743330047,0.126330670434982
0.293765536276624,0.4328621129971
0.723077471833676,0.147284836275503
0.817706433357671,0.821538765216246
0.703027219511569,0.741407696390525
0.204945948906243,0.0368853413965553
0.73182357288897,0.9044951191172
0.696989184012637,0.0993349675554782
0.364055187208578,0.126567526254803
0.313962382497266,0.764012393075973
0.437669496284798,0.372737990925089
0.207116190344095,0.820812085643411
0.503432067343965,0.656288738362491
0.218102930812165,0.559893971774727
0.452289792941883,0.0888310126028955
0.586302128853276,0.396790896076709
0.848089600447565,0.712322283303365
0.847484573721886,0.183013594476506
0.49378259270452,0.171385508729145
0.755076779751107,0.294842743547633
0.728225762024522,0.427800440927967
0.377345112152398,0.0354612178634852
0.868072065524757,NA
0.184781781630591,0.268756112549454
0.371976059162989,0.549303075531498
0.827133980346844,0.638529509073123
0.159770262660459,0.991926640737802
0.692414420191199,0.0267290531191975
0.265915705356747,0.984032650012523
0.0851816777139902,0.213085910538211
0.27707301476039,0.78802667139098
0.73437824123539,0.420249403454363
0.0942773886490613,0.254143779631704
0.415557350963354,NA
0.318023144034669,0.476878501707688
0.657591935945675,0.579791664378718
